,angulo(erro),corr,gps_x_anterior,gps_x_atual,gps_x_final,gps_y_anterior,gps_y_atual,gps_y_final,servo,sinal(erro)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-19.511185882717474,6.902444070586412
2,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
3,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
4,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
5,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
6,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
7,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
8,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
9,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
10,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
11,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
12,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
13,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
14,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
15,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
16,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
17,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
18,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
19,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
20,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
21,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
22,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
23,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
24,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
25,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
26,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
27,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
28,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
29,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
30,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
31,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
32,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
33,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
34,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
35,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
36,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
37,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
38,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
39,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
40,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
41,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
42,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
43,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
44,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
45,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
46,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
47,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
48,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
49,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
50,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
51,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
52,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
53,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
54,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
